                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.473,                0.23077,                0.55769,                    nan,             0.00015708,             0.00015708,             0.00015708
                      2,                 2.2528,                0.21154,                0.55769,                    nan,             0.00031812,             0.00031812,             0.00031812
                      3,                 1.9569,                0.32692,                0.69231,                    nan,             0.00047591,             0.00047591,             0.00047591
                      4,                 1.4935,                0.42308,                   0.75,                    nan,             0.00063044,             0.00063044,             0.00063044
                      5,                 1.1458,                0.38462,                0.76923,                    nan,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.7619,                0.55769,                0.78846,                    nan,             0.00067866,             0.00067866,             0.00067866
                      7,                0.55033,                0.55769,                0.80769,                    nan,             0.00067159,             0.00067159,             0.00067159
                      8,                0.46661,                0.57692,                   0.75,                    nan,             0.00066452,             0.00066452,             0.00066452
                      9,                0.36663,                0.59615,                0.76923,                    nan,             0.00065745,             0.00065745,             0.00065745
                     10,                0.33217,                0.53846,                0.78846,                    nan,             0.00065038,             0.00065038,             0.00065038
                     11,                0.31908,                0.59615,                0.80769,                    nan,             0.00064331,             0.00064331,             0.00064331
                     12,                0.28922,                0.59615,                0.80769,                    nan,             0.00063625,             0.00063625,             0.00063625
                     13,                0.24589,                0.63462,                0.78846,                    nan,             0.00062918,             0.00062918,             0.00062918
                     14,                0.20844,                0.59615,                0.76923,                    nan,             0.00062211,             0.00062211,             0.00062211
                     15,                0.27701,                0.59615,                0.80769,                    nan,             0.00061504,             0.00061504,             0.00061504
                     16,                0.33315,                0.59615,                0.84615,                    nan,             0.00060797,             0.00060797,             0.00060797
                     17,                0.20167,                0.61538,                0.78846,                    nan,              0.0006009,              0.0006009,              0.0006009
                     18,                0.17889,                0.63462,                0.71154,                    nan,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.2261,                0.57692,                0.76923,                    nan,             0.00058677,             0.00058677,             0.00058677
                     20,                0.22711,                0.55769,                0.76923,                    nan,              0.0005797,              0.0005797,              0.0005797
                     21,                0.21809,                0.57692,                0.84615,                    nan,             0.00057263,             0.00057263,             0.00057263
