                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1999,                 2.0454,                  1.549,                 0.8741,                0.75865,                0.90121,                0.65784,                    nan,                    nan,                    nan,               0.003329,               0.003329,               0.003329
                      2,                 1.0019,                 1.1334,                 1.3464,                0.85814,                0.89518,                 0.9628,                 0.7956,                    nan,                    nan,                    nan,              0.0065963,              0.0065963,              0.0065963
                      3,                  1.023,                0.95383,                 1.3417,                0.89308,                0.88695,                0.90252,                0.73116,                    nan,                    nan,                    nan,              0.0097977,              0.0097977,              0.0097977
                      4,                 1.0187,                0.82884,                 1.3412,                 0.9196,                0.95513,                0.98619,                0.84105,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                0.95203,                0.71257,                 1.2954,                0.58783,                0.71922,                0.77622,                0.59426,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                0.89021,                0.63186,                 1.2621,                0.78745,                0.90866,                0.92332,                0.74089,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                0.85013,                0.57735,                 1.2381,                0.94219,                0.96393,                0.95615,                0.83817,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                0.82207,                0.53975,                 1.2285,                0.94141,                0.96401,                0.93698,                0.81023,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.79574,                0.51034,                 1.2111,                0.94644,                0.97384,                0.96442,                0.86077,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                0.76901,                 0.4788,                 1.1951,                0.95381,                0.97504,                0.95681,                0.86529,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.75392,                0.46362,                 1.1837,                0.94154,                 0.9717,                0.97638,                0.88784,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
