                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3815,                0.33388,                 0.7438,                 2.4766,             0.00023711,             0.00023711,             0.00023711
                      2,                  1.077,                0.92397,                      1,                 1.8832,             0.00045943,             0.00045943,             0.00045943
                      3,                 0.3883,                0.96033,                0.99835,                  1.767,             0.00066604,             0.00066604,             0.00066604
                      4,                0.23719,                0.96364,                      1,                 1.7479,             0.00064331,             0.00064331,             0.00064331
                      5,                0.21312,                0.97025,                      1,                 1.7469,             0.00061975,             0.00061975,             0.00061975
                      6,                0.18708,                0.98182,                0.99669,                 1.7225,             0.00059619,             0.00059619,             0.00059619
                      7,                0.17907,                0.97851,                0.99008,                 1.7253,             0.00057263,             0.00057263,             0.00057263
                      8,                0.15346,                0.98182,                0.99669,                 1.7199,             0.00054907,             0.00054907,             0.00054907
                      9,                0.14658,                0.96529,                0.98678,                 1.7306,              0.0005255,              0.0005255,              0.0005255
                     10,                0.12603,                0.97355,                      1,                 1.7239,             0.00050194,             0.00050194,             0.00050194
                     11,                0.12326,                0.96364,                0.99669,                 1.7289,             0.00047838,             0.00047838,             0.00047838
