                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.14117,                0.97919,                      1,                 1.7129,              0.0033315,              0.0033315,              0.0033315
                      2,                0.06188,                0.97839,                 0.9984,                 1.7121,              0.0065329,              0.0065329,              0.0065329
                      3,                0.20479,                0.96519,                0.98079,                 1.7263,              0.0096023,              0.0096023,              0.0096023
                      4,                0.22821,                0.96279,                0.97959,                 1.7301,               0.009406,               0.009406,               0.009406
                      5,                0.16071,                0.97959,                0.97959,                 1.7122,               0.009208,               0.009208,               0.009208
                      6,                0.12472,                0.97839,                0.98399,                 1.7116,                0.00901,                0.00901,                0.00901
                      7,                0.10195,                0.97919,                0.97959,                 1.7128,               0.008812,               0.008812,               0.008812
                      8,                0.08361,                0.97319,                0.98279,                 1.7175,               0.008614,               0.008614,               0.008614
                      9,                0.08316,                0.97839,                 0.9892,                 1.7113,               0.008416,               0.008416,               0.008416
                     10,                0.07215,                0.97959,                0.98279,                 1.7107,               0.008218,               0.008218,               0.008218
                     11,                0.06841,                0.97959,                0.98359,                 1.7108,                0.00802,                0.00802,                0.00802
