                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9681,                0.67273,                0.99205,                  2.205,             0.00023739,             0.00023739,             0.00023739
                      2,                0.49438,                0.95114,                      1,                  1.786,             0.00046597,             0.00046597,             0.00046597
                      3,                0.17801,                0.98295,                0.99886,                 1.7227,             0.00068513,             0.00068513,             0.00068513
                      4,                 0.0977,                0.98523,                      1,                 1.7205,             0.00067159,             0.00067159,             0.00067159
                      5,                0.08225,                0.97841,                      1,                 1.7131,             0.00065745,             0.00065745,             0.00065745
                      6,                0.05676,                0.98636,                      1,                 1.7141,             0.00064331,             0.00064331,             0.00064331
                      7,                0.05282,                0.99205,                      1,                  1.702,             0.00062918,             0.00062918,             0.00062918
                      8,                0.04736,                0.99318,                      1,                 1.7072,             0.00061504,             0.00061504,             0.00061504
                      9,                0.03738,                0.99318,                      1,                 1.7026,              0.0006009,              0.0006009,              0.0006009
                     10,                0.02993,                0.98636,                      1,                  1.711,             0.00058677,             0.00058677,             0.00058677
                     11,                0.03925,                 0.9875,                      1,                 1.7067,             0.00057263,             0.00057263,             0.00057263
                     12,                0.03372,                0.98523,                      1,                 1.7076,             0.00055849,             0.00055849,             0.00055849
